Patient_ID,Patient_SSN,Doctor_ID,Name,Gender
1001,8392206319,109,John,Male
1002,8473303738,108,Akash,Male
1003,7453409011,109,Irfan,Male
1004,5904533830,110,Monica,Female
1005,8482778872,101,Charlie,Male
1006,5528263293,103,Angelina,Female
1007,2482671444,104,Tony,Male
1008,1456958542,107,Vikram,Male
1009,5493466731,110,Rachel,Female
1010,7943069430,101,Selena,Female
1011,7825142258,102,Shuting,Female
1012,6546546525,105,Alan,Male
1013,3233698740,106,Zhao,Female
1014,4563636948,102,Siyu,Female
1015,4012894863,104,Nicolas,Male
1016,8521403658,108,Bruno,Male
1017,9865659235,110,Nikki,Female
